date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
,,,,,,,,,,,,,,,Drake Avenue,94965,"37.8706417, -122.5089744","300 Drake Ave, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Ignacio Boulevard,94949,"38.0662426, -122.5399699","300 Ignacio Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Miller Creek Road,94903,"38.0328435, -122.5445086","300 Miller Creek Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,North San Pedro Road,94903,"38.0065256, -122.51894","300 N San Pedro Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,North San Pedro Road,94903,"38.0065256, -122.51894","300 N San Pedro Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Smith Ranch Road,94903,"38.0253519, -122.5184233","300 Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Smith Ranch Road,94903,"38.0253519, -122.5184233","300 Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Strawberry Village,94941,"37.89757669999999, -122.5150361","300 Strawberry Village, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3000 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Paradise Drive,94920,"37.8880294, -122.4449766","3000 Paradise Dr, Tiburon, CA 94920, USA"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3000 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94930,"38.0048976, -122.6143249","3200 Sir Francis Drake Blvd, Fairfax, CA 94930, USA"
,,,,,,,,,,,,,,,Smith Ranch Road,94903,"38.01981370000001, -122.5223696","350 Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3500 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3500 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Lucky Drive,94904,"37.9408642, -122.516657","4 Lucky Dr, Greenbrae, CA 94904, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Atherton Avenue,94945,"38.1093053, -122.5310329","400 Atherton Ave, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,Miller Creek Road,94903,"38.0336817, -122.547339","400 Miller Creek Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94904,"37.9470413, -122.5224188","400 Sir Francis Drake Blvd, Kentfield, CA 94904, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0764792, -122.5355823","400 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0764792, -122.5355823","400 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Seminary Drive,94941,"37.8907314, -122.5153702","400 Seminary Dr, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Marin County,94945,"38.1287721, -122.5633","Binford Rd, California 94945, USA"
,,,,,,,,,,,,,,,Bridgeway,94965,"37.8713432, -122.5035922","4000 Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Bridgeway,94965,"37.8713432, -122.5035922","4000 Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0044896, -122.5382765","4000 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Cole Drive,94965,"37.8680788, -122.5082169","49 Cole Dr, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sky Oaks Road,94930,"37.96812790000001, -122.6044726","49 Sky Oaks Rd, Fairfax, CA 94930, USA"
,,,,,,,,,,,,,,,Hathaway Drive,94949,"38.04554710000001, -122.5230083","5 Hathaway Dr, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Bellam Boulevard,94901,"37.9591184, -122.5055622","50 Bellam Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Point San Pedro Road,94901,"37.9737125, -122.4863439","500 Point San Pedro Rd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Seminary Drive,94941,"37.8911103, -122.5159393","500 Seminary Dr, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,San Rafael,94903,"38.0069433, -122.5398843","Redwood Frontage Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0060734, -122.5391524","5000 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Lagunitas-Forest Knolls,94946,"38.0202386, -122.6673428","W Nicasio Rd, Lagunitas-Forest Knolls, CA 94946, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Northgate Drive,94903,"38.0040214, -122.5453614","5000 Northgate Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Lagunitas-Forest Knolls,94946,"38.0202386, -122.6673428","W Nicasio Rd, Lagunitas-Forest Knolls, CA 94946, USA"
,,,,,,,,,,,,,,,Nave Drive,94949,"38.0619674, -122.5327219","5700 Nave Dr, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Drake Avenue,94965,"37.87105, -122.5132952","600 Drake Ave, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Red Hill Avenue,94960,"37.9769385, -122.5607389","600 Red Hill Ave, San Anselmo, CA 94960, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Binford Road,94945,"38.1408896, -122.5621914","6000 Binford Rd, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,Nicasio Valley Road,94946,"38.0785539, -122.7102123","6000 Nicasio Valley Rd, Nicasio, CA 94946, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94963,"38.01652170000001, -122.6746507","6350 Sir Francis Drake Blvd, San Geronimo, CA 94963, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94946,"38.0168134, -122.6794339","6400 Sir Francis Drake Blvd, Nicasio, CA 94946, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94933,"38.0160797, -122.6863019","6800 Sir Francis Drake Blvd, Forest Knolls, CA 94933, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Appleberry Drive,94903,"38.0269935, -122.556366","700 Appleberry Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0779653, -122.5321943","700 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0779653, -122.5321943","700 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0779653, -122.5321943","700 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0779653, -122.5321943","700 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Miller Avenue,94941,"37.8917143, -122.5292056","700 Miller Ave, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94938,"38.0131863, -122.6999447","7200 Sir Francis Drake Blvd, Lagunitas, CA 94938, USA"
,,,,,,,,,,,,,,,Nicasio Valley Road,94946,"38.0814653, -122.7175503","7500 Nicasio Valley Rd, Nicasio, CA 94946, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Atherton Avenue,94945,"38.1180553, -122.554458","800 Atherton Ave, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0788657, -122.528869","800 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Binford Road,94945,"38.1303082, -122.5628606","800 Binford Rd, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,Binford Road,94945,"38.1303082, -122.5628606","800 Binford Rd, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,Binford Road,94945,"38.1303082, -122.5628606","800 Binford Rd, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,College Avenue,94904,"37.9522952, -122.5488083","800 College Ave, Kentfield, CA 94904, USA"
,,,,,,,,,,,,,,,College Avenue,94904,"37.9522952, -122.5488083","800 College Ave, Kentfield, CA 94904, USA"
,,,,,,,,,,,,,,,College Avenue,94904,"37.9522952, -122.5488083","800 College Ave, Kentfield, CA 94904, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94960,"37.9790783, -122.5640458","800 Sir Francis Drake Blvd, San Anselmo, CA 94960, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94960,"37.9790783, -122.5640458","800 Sir Francis Drake Blvd, San Anselmo, CA 94960, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Binford Road,94945,"38.1408896, -122.5621914","8000 Binford Rd, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,3340,94939,"36.1118422, -94.14345279999999","3340 N College Ave #5, Fayetteville, AR 72703, USA"
,,,,,,,,,,,,,,,Cole Drive,94965,"37.8682069, -122.5101414","90 Cole Dr, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Northgate Drive,94903,"38.0066834, -122.5454892","900 Northgate Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Del Presidio Boulevard,94903,"38.00705440000001, -122.5442322","900 Del Presidio Blvd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,East Blithedale Avenue,94941,"37.9032314, -122.5181739","999 E Blithedale Ave, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Marin County,94949,"38.0551966, -122.5310317","Alameda del Prado, California 94949, USA"
,,,,,,,,,,,,,,,Almonte,94941,"37.8928679, -122.5303895","Miller Ave, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Marin County,94941,"37.8873441, -122.5254846","Almonte Blvd, California 94941, USA"
,,,,,,,,,,,,,,,Mill Valley,94941,"37.8873597, -122.5248513","Almonte Blvd & Miller Ave, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,San Mateo County,94920,"37.4613272, -122.197743","Atherton, CA, USA"
,,,,,,,,,,,,,,,Yolo County,94920,"38.67851570000001, -121.7732971","Woodland, CA, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"38.0008165, -122.5355229","Civic Center Dr & Ave of the Flags, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Marin County,94949,"38.0796816, -122.5079557","Bahama Reef, California 94949, USA"
,,,,,,,,,,,,,,,Marin County,94930,"38.0022525, -122.6119741","Sir Francis Drake Blvd & Baywood Canyon Rd, California 94930, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Marin County,94945,"38.1287721, -122.5633","Binford Rd, California 94945, USA"
,,,,,,,,,,,,,,,Marin County,94945,"38.1287721, -122.5633","Binford Rd, California 94945, USA"
,,,,,,,,,,,,,,,Bon Air Center,94904,"37.9469805, -122.526195","50 Bon Air Center, Greenbrae, CA 94904, USA"
,,,,,,,,,,,,,,,Greenbrae,94904,"37.9486438, -122.5139738","Vía La Cumbre, Greenbrae, CA 94904, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Bernalillo County,94920,"35.0680512, -106.7019275","Bridge Blvd SW, New Mexico, USA"
,,,,,,,,,,,,,,,Bernalillo County,94920,"35.0680512, -106.7019275","Bridge Blvd SW, New Mexico, USA"
,,,,,,,,,,,,,,,Bernalillo County,94920,"35.0680512, -106.7019275","Bridge Blvd SW, New Mexico, USA"
,,,,,,,,,,,,,,,Bernalillo County,94920,"35.0680512, -106.7019275","Bridge Blvd SW, New Mexico, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Bernalillo County,94920,"35.0680512, -106.7019275","Bridge Blvd SW, New Mexico, USA"
,,,,,,,,,,,,,,,Orange County,94939,"28.5617138, -81.1841366","Bridgeway Blvd, Florida 32828, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8652653, -122.4992402","Bridgeway & Nevada St, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8706476, -122.503687","Bridgeway & Ebbtide Ave, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8706476, -122.503687","Bridgeway & Ebbtide Ave, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8684711, -122.5025936","Coloma St & Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8702648, -122.5037425","Bridgeway & Ebbtide St, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sausalito,94965,"37.8617868, -122.4921424","Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8730975, -122.5154466","Drake Ave & Buckelew St, California 94965, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Stinson Beach,94970,"37.9003658, -122.6449009","Calle del Arroyo & Cll Del Resaca, Stinson Beach, CA 94970, USA"
,,,,,,,,,,,,,,,Marin County,94903,"37.9927782, -122.5385731","Circle Rd & Los Ranchitos Rd, California 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"37.9970638, -122.5289007","Civic Center Dr & Peter Behr Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"38.0016203, -122.5367515","Civic Center Dr & McInnis Pkwy, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"37.9968172, -122.5284069","Civic Center Dr & N San Pedro Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"38.0037946, -122.5385786","Civic Center Dr & Merrydale Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"37.9968172, -122.5284069","Civic Center Dr & N San Pedro Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"37.9992434, -122.5305068","Civic Center Dr & Armory Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"38.0037946, -122.5385786","Civic Center Dr & Merrydale Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8691198, -122.5090532","Cole Dr & Drake Ave, California 94965, USA"
,,,,,,,,,,,,,,,Strawberry,94941,"37.887634, -122.5146474","De Silva Island Dr, Strawberry, CA 94941, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8734282, -122.5118778","Drake Ave & Donahue St, California 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8715616, -122.5106455","Donahue St & Terners Dr, California 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8715616, -122.5106455","Donahue St & Terners Dr, California 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8737887, -122.5117539","Donahue St, California 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8715616, -122.5106455","Donahue St & Terners Dr, California 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8715616, -122.5106455","Donahue St & Terners Dr, California 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8734282, -122.5118778","Drake Ave & Donahue St, California 94965, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,University Avenue,94939,"41.6030995, -93.6546481","2507 University Ave, Des Moines, IA 50311, USA"
,,,,,,,,,,,,,,,Lagunitas-Forest Knolls,94938,"38.0113535, -122.7023695","Sir Francis Drake Blvd & Lagunitas Rd, Lagunitas-Forest Knolls, CA 94938, USA"
